Paulao,Real Betis,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.7(0.19444444444444442),0.0(0.0),0.1(0.019607843137254905)
Mario Álvarez,Real Betis,2012-2013,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Joel Campbell,Real Betis,2012-2013,"defensive_5,passing_5,control_0,attack_5",1.2(0.27906976744186046),1.2(0.27906976744186046),0.3(0.08333333333333333),0.3(0.37499999999999994),1.5(0.29411764705882354)
Nacho,Real Betis,2012-2013,"defensive_5,passing_5,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Álex Martínez,Real Betis,2012-2013,"defensive_2,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Salva Sevilla,Real Betis,2012-2013,"defensive_1,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.7(0.1627906976744186),0.2(0.05555555555555556),0.1(0.125),0.9(0.17647058823529413)
Jorge Molina,Real Betis,2012-2013,"defensive_1,passing_5,control_5,attack_0",0.1(0.023255813953488375),2.0(0.46511627906976744),0.7(0.19444444444444442),0.3(0.37499999999999994),1.6(0.3137254901960785)
Míchel Macedo,Las Palmas,2016-2017,"defensive_1,passing_5,control_4,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Javi Varas,Las Palmas,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Momo,Las Palmas,2016-2017,"defensive_0,passing_0,control_3,attack_2",0.4(0.0930232558139535),0.4(0.0930232558139535),0.0(0.0),0.1(0.125),0.4(0.07843137254901962)
Pedro Bigas,Las Palmas,2016-2017,"defensive_2,passing_3,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.3(0.058823529411764705)
David Simón,Las Palmas,2016-2017,"defensive_4,passing_5,control_4,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Aythami Artiles,Las Palmas,2016-2017,"defensive_2,passing_3,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Mauricio Lemos,Las Palmas,2016-2017,"defensive_3,passing_3,control_1,attack_2",0.8(0.186046511627907),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Jonathan Viera,Las Palmas,2016-2017,"defensive_1,passing_0,control_0,attack_4",1.6(0.372093023255814),0.7(0.1627906976744186),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Ángel Montoro,Las Palmas,2016-2017,"defensive_5,passing_3,control_1,attack_2",0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Marko Livaja,Las Palmas,2016-2017,"defensive_0,passing_5,control_0,attack_1",0.7(0.1627906976744186),0.7(0.1627906976744186),0.4(0.11111111111111112),0.1(0.125),1.1(0.21568627450980396)
Kevin-Prince Boateng,Las Palmas,2016-2017,"defensive_0,passing_5,control_0,attack_0",0.6(0.13953488372093023),2.5(0.5813953488372093),0.7(0.19444444444444442),0.1(0.125),2.9(0.5686274509803921)
Vicente Gómez,Las Palmas,2016-2017,"defensive_0,passing_2,control_3,attack_3",0.2(0.04651162790697675),0.7(0.1627906976744186),0.3(0.08333333333333333),0.0(0.0),0.6(0.11764705882352941)
Tana,Las Palmas,2016-2017,"defensive_0,passing_0,control_0,attack_1",0.4(0.0930232558139535),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
David García,Las Palmas,2016-2017,"defensive_2,passing_3,control_2,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.2(0.03921568627450981)
Jesé,Las Palmas,2016-2017,"defensive_0,passing_5,control_0,attack_5",0.9(0.20930232558139536),1.8(0.4186046511627907),0.0(0.0),0.2(0.25),2.2(0.4313725490196079)
Roque Mesa,Las Palmas,2016-2017,"defensive_0,passing_3,control_4,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Mateo García,Las Palmas,2016-2017,"defensive_4,passing_5,control_0,attack_1",0.4(0.0930232558139535),0.5(0.11627906976744186),0.0(0.0),0.1(0.125),0.9(0.17647058823529413)
Hélder Lopes,Las Palmas,2016-2017,"defensive_4,passing_5,control_4,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Raúl Lizoain,Las Palmas,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Dani Castellano,Las Palmas,2016-2017,"defensive_2,passing_2,control_4,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Nabil El Zhar,Las Palmas,2016-2017,"defensive_1,passing_5,control_4,attack_5",0.0(0.0),1.1(0.2558139534883721),0.1(0.02777777777777778),0.0(0.0),1.4(0.27450980392156865)
Sergio Araujo,Las Palmas,2015-2016,"defensive_0,passing_5,control_5,attack_5",1.0(0.23255813953488372),1.7(0.3953488372093023),0.2(0.05555555555555556),0.1(0.125),2.6(0.5098039215686275)
Hernán Trujillo,Las Palmas,2015-2016,"defensive_4,passing_2,control_4,attack_3",0.5(0.11627906976744186),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.2(0.03921568627450981)
Javi Varas,Las Palmas,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Momo,Las Palmas,2015-2016,"defensive_0,passing_0,control_3,attack_1",0.4(0.0930232558139535),0.5(0.11627906976744186),0.0(0.0),0.1(0.125),0.8(0.15686274509803924)
Pedro Bigas,Las Palmas,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
David Simón,Las Palmas,2015-2016,"defensive_4,passing_5,control_4,attack_2",0.0(0.0),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Aythami Artiles,Las Palmas,2015-2016,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Mauricio Lemos,Las Palmas,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Jonathan Viera,Las Palmas,2015-2016,"defensive_0,passing_0,control_0,attack_4",1.4(0.3255813953488372),1.0(0.23255813953488372),0.1(0.02777777777777778),0.1(0.125),1.7(0.33333333333333337)
Willian José,Las Palmas,2015-2016,"defensive_1,passing_5,control_4,attack_5",1.1(0.2558139534883721),1.5(0.3488372093023256),0.5(0.1388888888888889),0.2(0.25),2.3(0.45098039215686275)
Mubarak Wakaso,Las Palmas,2015-2016,"defensive_4,passing_3,control_0,attack_1",1.5(0.3488372093023256),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),1.4(0.27450980392156865)
Vicente Gómez,Las Palmas,2015-2016,"defensive_4,passing_3,control_4,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Tana,Las Palmas,2015-2016,"defensive_0,passing_0,control_0,attack_1",0.6(0.13953488372093023),0.7(0.1627906976744186),0.0(0.0),0.0(0.0),1.1(0.21568627450980396)
David García,Las Palmas,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Roque Mesa,Las Palmas,2015-2016,"defensive_0,passing_3,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Raúl Lizoain,Las Palmas,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Dani Castellano,Las Palmas,2015-2016,"defensive_4,passing_2,control_4,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Nabil El Zhar,Las Palmas,2015-2016,"defensive_0,passing_5,control_4,attack_1",0.5(0.11627906976744186),1.0(0.23255813953488372),0.2(0.05555555555555556),0.1(0.125),1.2(0.23529411764705882)
Javier Garrido,Las Palmas,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Robert Pires,Villarreal,2009-2010,"defensive_5,passing_0,control_3,attack_5",0.4(0.0930232558139535),1.1(0.2558139534883721),0.0(0.0),0.3(0.37499999999999994),1.3(0.25490196078431376)
Marcano,Villarreal,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Sebastián Eguren,Villarreal,2009-2010,"defensive_5,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
David Fuster,Villarreal,2009-2010,"defensive_5,passing_0,control_3,attack_5",0.8(0.186046511627907),1.1(0.2558139534883721),0.2(0.05555555555555556),0.2(0.25),1.8(0.35294117647058826)
Ángel,Villarreal,2009-2010,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Diego Godín,Villarreal,2009-2010,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.0(0.0)
Cani,Villarreal,2009-2010,"defensive_5,passing_5,control_3,attack_1",0.5(0.11627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
Joan Capdevila,Villarreal,2009-2010,"defensive_2,passing_2,control_1,attack_2",0.4(0.0930232558139535),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Nilmar,Villarreal,2009-2010,"defensive_1,passing_5,control_3,attack_5",0.4(0.0930232558139535),1.7(0.3953488372093023),0.5(0.1388888888888889),0.1(0.125),2.0(0.3921568627450981)
Bruno Soriano,Villarreal,2009-2010,"defensive_5,passing_3,control_1,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Marcos Senna,Villarreal,2009-2010,"defensive_5,passing_3,control_3,attack_1",1.4(0.3255813953488372),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Ariel Ibagaza,Villarreal,2009-2010,"defensive_5,passing_4,control_3,attack_1",0.6(0.13953488372093023),0.6(0.13953488372093023),0.1(0.02777777777777778),0.1(0.125),0.7(0.13725490196078433)
Diego López,Villarreal,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Joseba Llorente,Villarreal,2009-2010,"defensive_1,passing_5,control_1,attack_0",0.5(0.11627906976744186),2.0(0.46511627906976744),0.6(0.16666666666666666),0.4(0.5),2.2(0.4313725490196079)
Giuseppe Rossi,Villarreal,2009-2010,"defensive_1,passing_5,control_3,attack_0",1.0(0.23255813953488372),2.2(0.5116279069767442),0.2(0.05555555555555556),0.1(0.125),2.5(0.4901960784313726)
Santi Cazorla,Villarreal,2009-2010,"defensive_5,passing_0,control_3,attack_4",1.9(0.4418604651162791),0.3(0.06976744186046512),0.1(0.02777777777777778),0.1(0.125),1.7(0.33333333333333337)
Javi Venta,Villarreal,2009-2010,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Gonzalo Rodríguez,Villarreal,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Javier Aquino,Villarreal,2013-2014,"defensive_4,passing_0,control_4,attack_1",0.3(0.06976744186046512),0.6(0.13953488372093023),0.1(0.02777777777777778),0.1(0.125),0.8(0.15686274509803924)
Bojan Jokic,Villarreal,2013-2014,"defensive_5,passing_5,control_1,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Mario,Villarreal,2013-2014,"defensive_4,passing_5,control_1,attack_2",0.2(0.04651162790697675),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Jonathan Pereira,Villarreal,2013-2014,"defensive_1,passing_5,control_4,attack_5",0.2(0.04651162790697675),1.6(0.372093023255814),0.0(0.0),0.1(0.125),1.7(0.33333333333333337)
Jérémy Perbet,Villarreal,2013-2014,"defensive_0,passing_5,control_0,attack_0",0.6(0.13953488372093023),1.6(0.372093023255814),0.2(0.05555555555555556),0.3(0.37499999999999994),2.1(0.411764705882353)
Tomás Pina,Villarreal,2013-2014,"defensive_4,passing_2,control_3,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Moi Gómez,Villarreal,2013-2014,"defensive_0,passing_5,control_4,attack_1",1.0(0.23255813953488372),0.6(0.13953488372093023),0.0(0.0),0.1(0.125),1.5(0.29411764705882354)
Cani,Villarreal,2013-2014,"defensive_4,passing_5,control_4,attack_1",0.8(0.186046511627907),0.4(0.0930232558139535),0.0(0.0),0.1(0.125),0.8(0.15686274509803924)
Chechu Dorado,Villarreal,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Manu Trigueros,Villarreal,2013-2014,"defensive_0,passing_4,control_3,attack_1",1.1(0.2558139534883721),0.4(0.0930232558139535),0.1(0.02777777777777778),0.1(0.125),1.0(0.19607843137254904)
Bruno Soriano,Villarreal,2013-2014,"defensive_2,passing_3,control_2,attack_1",0.6(0.13953488372093023),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.5(0.09803921568627452)
Mateo Musacchio,Villarreal,2013-2014,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Ikechukwu Uche,Villarreal,2013-2014,"defensive_1,passing_5,control_5,attack_5",0.4(0.0930232558139535),1.2(0.27906976744186046),0.3(0.08333333333333333),0.2(0.25),1.6(0.3137254901960785)
Jaume Costa,Villarreal,2013-2014,"defensive_4,passing_5,control_1,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Gabriel Paulista,Villarreal,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Giovani dos Santos,Villarreal,2013-2014,"defensive_1,passing_0,control_4,attack_5",0.9(0.20930232558139536),1.1(0.2558139534883721),0.1(0.02777777777777778),0.2(0.25),1.4(0.27450980392156865)
Sergio Asenjo,Villarreal,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Cédric Bakambu,Villarreal,2016-2017,"defensive_0,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.8(0.4186046511627907),0.2(0.05555555555555556),0.0(0.0),2.8(0.5490196078431373)
Samu Castillejo,Villarreal,2016-2017,"defensive_0,passing_0,control_0,attack_1",0.8(0.186046511627907),0.6(0.13953488372093023),0.1(0.02777777777777778),0.0(0.0),1.2(0.23529411764705882)
Mario,Villarreal,2016-2017,"defensive_4,passing_5,control_1,attack_3",0.2(0.04651162790697675),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),0.6(0.11764705882352941)
Jonathan dos Santos,Villarreal,2016-2017,"defensive_4,passing_0,control_4,attack_1",0.9(0.20930232558139536),0.8(0.186046511627907),0.1(0.02777777777777778),0.0(0.0),1.4(0.27450980392156865)
Alexandre Pato,Villarreal,2016-2017,"defensive_0,passing_5,control_0,attack_4",1.2(0.27906976744186046),1.3(0.3023255813953489),0.4(0.11111111111111112),0.0(0.0),2.1(0.411764705882353)
Nicola Sansone,Villarreal,2016-2017,"defensive_1,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.3(0.3023255813953489),0.0(0.0),0.0(0.0),1.8(0.35294117647058826)
Manu Trigueros,Villarreal,2016-2017,"defensive_0,passing_3,control_4,attack_1",0.8(0.186046511627907),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),1.2(0.23529411764705882)
Bruno Soriano,Villarreal,2016-2017,"defensive_2,passing_3,control_4,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Andrés Fernández,Villarreal,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Mateo Musacchio,Villarreal,2016-2017,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Jaume Costa,Villarreal,2016-2017,"defensive_4,passing_5,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Roberto Soriano,Villarreal,2016-2017,"defensive_0,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.6(0.13953488372093023),0.1(0.02777777777777778),0.0(0.0),1.3(0.25490196078431376)
Álvaro González,Villarreal,2016-2017,"defensive_2,passing_2,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Rodri,Villarreal,2016-2017,"defensive_4,passing_3,control_2,attack_1",0.8(0.186046511627907),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.8(0.15686274509803924)
Sergio Asenjo,Villarreal,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Roberto Soldado,Villarreal,2016-2017,"defensive_0,passing_0,control_0,attack_5",0.2(0.04651162790697675),1.7(0.3953488372093023),0.4(0.11111111111111112),0.2(0.25),1.3(0.25490196078431376)
Víctor Ruiz,Villarreal,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Gerard Moreno,Villarreal,2014-2015,"defensive_0,passing_5,control_5,attack_5",0.3(0.06976744186046512),1.7(0.3953488372093023),0.4(0.11111111111111112),0.1(0.125),1.8(0.35294117647058826)
Luciano Vietto,Villarreal,2014-2015,"defensive_0,passing_5,control_0,attack_0",1.4(0.3255813953488372),1.8(0.4186046511627907),0.6(0.16666666666666666),0.3(0.37499999999999994),2.8(0.5490196078431373)
Mario,Villarreal,2014-2015,"defensive_4,passing_5,control_1,attack_1",0.4(0.0930232558139535),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
Eric Bailly,Villarreal,2014-2015,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Jonathan dos Santos,Villarreal,2014-2015,"defensive_4,passing_0,control_4,attack_1",0.5(0.11627906976744186),0.3(0.06976744186046512),0.1(0.02777777777777778),0.1(0.125),0.6(0.11764705882352941)
Moi Gómez,Villarreal,2014-2015,"defensive_0,passing_0,control_4,attack_1",0.7(0.1627906976744186),0.7(0.1627906976744186),0.1(0.02777777777777778),0.1(0.125),1.3(0.25490196078431376)
Chechu Dorado,Villarreal,2014-2015,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Manu Trigueros,Villarreal,2014-2015,"defensive_4,passing_4,control_1,attack_1",0.7(0.1627906976744186),0.6(0.13953488372093023),0.1(0.02777777777777778),0.0(0.0),1.0(0.19607843137254904)
Bruno Soriano,Villarreal,2014-2015,"defensive_2,passing_3,control_2,attack_3",0.5(0.11627906976744186),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.2(0.03921568627450981)
Denis Cheryshev,Villarreal,2014-2015,"defensive_4,passing_0,control_5,attack_0",1.3(0.3023255813953489),2.1(0.48837209302325585),0.4(0.11111111111111112),0.3(0.37499999999999994),2.4(0.47058823529411764)
Ikechukwu Uche,Villarreal,2014-2015,"defensive_0,passing_5,control_5,attack_5",0.7(0.1627906976744186),1.6(0.372093023255814),0.4(0.11111111111111112),0.1(0.125),2.2(0.4313725490196079)
Jaume Costa,Villarreal,2014-2015,"defensive_4,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Mateo Musacchio,Villarreal,2014-2015,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Tomás Pina,Villarreal,2014-2015,"defensive_4,passing_5,control_2,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.3(0.08333333333333333),0.0(0.0),0.5(0.09803921568627452)
Gabriel Paulista,Villarreal,2014-2015,"defensive_2,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.6(0.13953488372093023),0.5(0.1388888888888889),0.0(0.0),0.1(0.019607843137254905)
Joel Campbell,Villarreal,2014-2015,"defensive_4,passing_0,control_0,attack_1",1.0(0.23255813953488372),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),1.7(0.33333333333333337)
Antonio Rukavina,Villarreal,2014-2015,"defensive_4,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Giovani dos Santos,Villarreal,2014-2015,"defensive_1,passing_0,control_4,attack_5",1.0(0.23255813953488372),1.2(0.27906976744186046),0.1(0.02777777777777778),0.1(0.125),1.6(0.3137254901960785)
Sergio Asenjo,Villarreal,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
